id,date,time,temperature,humidity,energy_usage,particulate,room
1,5/7/20,0:03:35,50,0.8,0xffc,8.10E+00,2
2,5/7/20,0:05:03,50,0.53,0xffb,8.10E+00,2
3,5/7/20,0:05:03,50,0.82,0xff3,8.50E+00,2
4,5/7/20,0:05:16,50,0.89,0xff2,8.60E+00,2
5,5/7/20,0:05:26,50,0.84,0xfef,8.60E+00,2
6,5/7/20,0:06:12,50,0.89,0xfec,8.60E+00,2
7,5/7/20,0:06:15,50,0.32,0xfea,8.80E+00,2
8,5/7/20,0:09:18,50,0.53,0xfea,9.20E+00,2
9,5/7/20,0:09:48,50,0.66,0xfe1,9.50E+00,2
10,5/7/20,0:10:48,50,0.84,0xfd4,9.80E+00,2
11,5/7/20,0:13:58,50,0.49,0xfd1,9.90E+00,2
12,5/7/20,0:21:36,50,0.52,0xfd0,1.00E+01,2
13,5/7/20,0:22:47,50,0.88,0xfce,1.00E+01,2
14,5/7/20,0:22:51,50,0.46,0xfcd,1.00E+01,2
15,5/7/20,0:23:44,50,0.56,0xfcb,1.00E+01,2
16,5/7/20,0:24:25,50,0.45,0xfc4,1.00E+01,2
17,5/7/20,0:25:02,50,0.86,0xfc2,1.00E+01,2
18,5/7/20,0:28:31,50,0.69,0xfbd,1.10E+01,2
19,5/7/20,0:28:45,50,0.55,0xfb9,1.10E+01,2
20,5/7/20,0:29:44,50,0.78,0xfb2,1.10E+01,2
21,5/7/20,0:30:05,50,0.69,0xfa6,1.10E+01,2
22,5/7/20,0:30:53,50,0.64,0xf9f,1.10E+01,2
23,5/7/20,0:32:58,50,0.32,0xf9c,1.10E+01,2
24,5/7/20,0:34:53,50,0.59,0xf9a,1.10E+01,2
25,5/7/20,0:36:21,50,0.43,0xf98,1.10E+01,2
26,5/7/20,0:36:47,50,0.3,0xf92,1.20E+01,2
27,5/7/20,0:38:06,50,0.37,0xf90,1.20E+01,2
28,5/7/20,0:40:59,50,0.85,0xf8c,1.20E+01,2
29,5/7/20,0:41:23,50,0.5,0xf87,1.20E+01,2
30,5/7/20,0:41:26,50,0.61,0xf83,1.20E+01,2
31,5/7/20,0:44:15,51,0.4,0xf83,1.30E+01,2
32,5/7/20,0:45:54,51,0.63,0xf81,1.30E+01,2
33,5/7/20,0:46:41,51,0.54,0xf7f,1.30E+01,2
34,5/7/20,0:47:48,51,0.82,0xf76,1.30E+01,2
35,5/7/20,0:51:21,51,0.67,0xf6e,1.30E+01,2
36,5/7/20,0:51:48,51,0.59,0xf68,1.30E+01,2
37,5/7/20,0:53:03,51,0.32,0xf68,1.40E+01,2
38,5/7/20,0:56:17,51,0.33,0xf60,1.40E+01,2
39,5/7/20,0:57:10,51,0.69,0xf58,1.40E+01,2
40,5/7/20,0:58:01,51,0.58,0xf58,1.40E+01,2
41,5/7/20,1:01:14,51,0.37,0xf52,1.50E+01,2
42,5/7/20,1:02:02,51,0.54,0xf52,1.50E+01,2
43,5/7/20,1:02:48,51,0.54,0xf4d,1.50E+01,2
44,5/7/20,1:02:56,51,0.88,0xf48,1.50E+01,2
45,5/7/20,1:04:37,51,0.79,0xf47,1.60E+01,2
46,5/7/20,1:05:18,51,0.5,0xf44,1.60E+01,2
47,5/7/20,1:06:31,51,0.44,0xf41,1.60E+01,2
48,5/7/20,1:06:36,51,0.35,0xf3a,1.60E+01,2
49,5/7/20,1:06:36,51,0.7,0xf2e,1.70E+01,2
50,5/7/20,1:09:22,51,0.3,0xf1d,1.70E+01,2
51,5/7/20,1:09:30,51,0.67,0xf1d,1.70E+01,2
52,5/7/20,1:11:04,51,0.7,0xf11,1.70E+01,2
53,5/7/20,1:15:14,51,0.56,0xf09,1.70E+01,2
54,5/7/20,1:16:13,51,0.34,0xf05,1.70E+01,2
55,5/7/20,1:16:48,51,0.81,0xf02,1.70E+01,2
56,5/7/20,1:18:04,51,0.45,0xef9,1.70E+01,2
57,5/7/20,1:18:11,51,0.86,0xef9,1.70E+01,2
58,5/7/20,1:19:48,51,0.65,0xef8,1.80E+01,2
59,5/7/20,1:21:04,51,0.77,0xef4,1.80E+01,2
60,5/7/20,1:21:33,52,0.48,0xef1,1.80E+01,2
61,5/7/20,1:21:52,52,0.64,0xee5,1.80E+01,2
62,5/7/20,1:22:43,52,0.36,0xee5,1.80E+01,2
63,5/7/20,1:26:59,52,0.62,0xedd,1.80E+01,2
64,5/7/20,1:27:06,52,0.42,0xedb,1.80E+01,2
65,5/7/20,1:27:55,52,0.51,0xed9,1.90E+01,2
66,5/7/20,1:28:10,52,0.84,0xed5,1.90E+01,2
67,5/7/20,1:28:16,52,0.6,0xed2,1.90E+01,2
68,5/7/20,1:30:00,52,0.83,0xec3,1.90E+01,2
69,5/7/20,1:30:03,52,0.34,0xebc,1.90E+01,2
70,5/7/20,1:30:33,52,0.79,0xeb9,1.90E+01,2
71,5/7/20,1:32:40,52,0.53,0xeb3,1.90E+01,2
72,5/7/20,1:33:21,52,0.41,0xeaf,2.00E+01,2
73,5/7/20,1:35:31,52,0.31,0xeae,2.00E+01,2
74,5/7/20,1:35:57,52,0.5,0xeaa,2.00E+01,2
75,5/7/20,1:36:37,52,0.6,0xea4,2.00E+01,2
76,5/7/20,1:38:59,52,0.32,0xea2,2.00E+01,2
77,5/7/20,1:39:52,52,0.6,0xea0,2.10E+01,2
78,5/7/20,1:41:46,52,0.6,0xe9e,2.10E+01,2
79,5/7/20,1:43:38,52,0.77,0xe9d,2.10E+01,2
